match_id,date,home_team,away_team,bookmaker_name,home_odds,draw_odds,away_odds,home_odds_change,draw_odds_change,away_odds_change,comment
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,Eurobet.IT,2.4,3.3,2.75,-0.1,0.0,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,GiocoDigitale,2.45,3.4,2.85,-0.05,0.0,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,BetClic,2.42,3.33,2.89,-0.05,-0.05,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,Coral,2.35,3.1,2.7,0.05,0.0,0.0,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,ISE,2.42,3.33,2.89,-0.05,-0.05,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,Bet365,2.4,3.5,2.8,-0.1,0.0,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,Snai,2.35,3.3,2.85,-0.05,0.0,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,MatchPoint,2.4,3.3,2.7,0.0,-0.1,0.0,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,Sportingbull,2.45,3.4,2.85,-0.05,0.0,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,BetAtHome,2.5,3.35,2.7,-0.05,-0.05,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,bwin,2.45,3.4,2.85,-0.05,0.0,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,Interwetten,2.55,3.25,2.85,-0.1,0.05,0.1,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,Ladbrokes,2.3,3.1,2.7,-0.05,0.0,0.05,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,Kambi2,2.5,3.3,2.8,0.07,0.0,-0.05,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169581,2022-07-15,1 FC Kaiserslautern,Hannover 96,SvenskaSpel,2.4,3.26,2.75,-0.01,0.0,0.02,"1:0 (11.) M.Wunderlich, 1:1 (80.) H.Nielsen, 2:1 (90.) K.Kraus"
34169591,2022-07-16,SV Sandhausen,Arminia Bielefeld,BetClic,2.72,3.23,2.61,-0.04,-0.04,0.05,"1:0 (11.) D.Kinsombi, 1:1 (59.) M.Okugawa, 2:1 (63.) D.Kinsombi"
34169593,2022-07-16,Jahn Regensburg,SV Darmstadt 98,BetAtHome,3.35,3.75,1.99,-0.05,-0.05,0.04,"1:0 (1.) J.Mees, 2:0 (67.) A.Albers"
34169593,2022-07-16,Jahn Regensburg,SV Darmstadt 98,bwin,3.4,3.7,2.05,-0.1,-0.05,0.07,"1:0 (1.) J.Mees, 2:0 (67.) A.Albers"
34169593,2022-07-16,Jahn Regensburg,SV Darmstadt 98,Interwetten,3.25,3.65,2.1,-0.05,-0.05,0.05,"1:0 (1.) J.Mees, 2:0 (67.) A.Albers"
34169593,2022-07-16,Jahn Regensburg,SV Darmstadt 98,Ladbrokes,3.1,3.4,2.0,-0.1,0.0,0.05,"1:0 (1.) J.Mees, 2:0 (67.) A.Albers"
34169593,2022-07-16,Jahn Regensburg,SV Darmstadt 98,Kambi2,3.3,3.9,1.97,-0.35,0.0,0.1,"1:0 (1.) J.Mees, 2:0 (67.) A.Albers"
